ID;Famille;Lot;Statut actuel;Quantité / variantes;Jalon;Priorité;Dépendances et usage;Livrables attendus;Validation
ENV-02;Environnement;Fondations et raccords;Prototype à reprendre;4 murs/angles + 2 jonctions;J3-J6;P1;Connexion à ENV-01 et passages;"Source Blender ; GLB ; textures ; collisions utiles ; points interaction ; variantes ; licence";"Échelle et pivots ; UV ; collision ; accès ; états ; coût mesuré dans scène étalon"
ENV-03;Environnement;Cuisine miniature;À créer;3 modules + 6 accessoires;J3;P0;Géométrie de la première aventure;"Source Blender ; GLB ; textures ; collisions utiles ; points interaction ; variantes ; licence";"Échelle et pivots ; UV ; collision ; accès ; états ; coût mesuré dans scène étalon"
ENV-04;Environnement;Cloisons et conduits;À créer;4 modules + 4 intersections;J4-J6;P1;Entrées nommées et liens verticaux;"Source Blender ; GLB ; textures ; collisions utiles ; points interaction ; variantes ; licence";"Échelle et pivots ; UV ; collision ; accès ; états ; coût mesuré dans scène étalon"
ENV-05;Environnement;Cave et Grand Refuge;À créer;4 modules + 2 sites;J6;P1;Objectifs de campagne et rat éventuel;"Source Blender ; GLB ; textures ; collisions utiles ; points interaction ; variantes ; licence";"Échelle et pivots ; UV ; collision ; accès ; états ; coût mesuré dans scène étalon"
ENV-06;Environnement;Salle de bains;Option à confirmer;3 modules + 4 accessoires;Après J6;P2;Campagne étendue, eau et fuite;"Source Blender ; GLB ; textures ; collisions utiles ; points interaction ; variantes ; licence";"Échelle et pivots ; UV ; collision ; accès ; états ; coût mesuré dans scène étalon"
ENV-07;Environnement;Grenier;Option à confirmer;3 modules + 4 accessoires;Après J6;P2;Campagne étendue et sécheresse;"Source Blender ; GLB ; textures ; collisions utiles ; points interaction ; variantes ; licence";"Échelle et pivots ; UV ; collision ; accès ; états ; coût mesuré dans scène étalon"
BLD-01;Bâtiments;Refuge initial;"Refuge avec porte et intérieur intégré ; états de chantier à compléter";1 bâtiment / 4 états;J2;P0;Stocks, lits et sorties;"Source Blender ; GLB ; textures ; collisions utiles ; points interaction ; variantes ; licence";"Échelle et pivots ; UV ; collision ; accès ; états ; coût mesuré dans scène étalon"
BLD-02;Bâtiments;Abri;"Ancien prototype conservé pour compatibilité ; remplacé par habitat aménageable";1 bâtiment / 4 états;J2;P0;2 lits, chantier, arrivée non instantanée;"Source Blender ; GLB ; textures ; collisions utiles ; points interaction ; variantes ; licence";"Échelle et pivots ; UV ; collision ; accès ; états ; coût mesuré dans scène étalon"
BLD-03;Bâtiments;Atelier;"Modèle et bonus intégrés ; recettes et chantiers à développer";1 bâtiment / 4 états;J2-J4;P0;Poste artisan et files;"Source Blender ; GLB ; textures ; collisions utiles ; points interaction ; variantes ; licence";"Échelle et pivots ; UV ; collision ; accès ; états ; coût mesuré dans scène étalon"
BLD-04;Bâtiments;Dépôt intermédiaire;Casier Blender et stocks locaux intégrés, lot 15 validé;1 casier à 12 places, contenu variable;J3;P0;Capacité, filtres, approvisionnement des lits et besoins locaux;"Source Blender ; GLB ; textures ; collisions utiles ; points interaction ; variantes ; licence";"Lot 15 validé ; fabrication du casier et états de chantier restent à créer"
BLD-05;Bâtiments;Pont en allumettes;"Une passerelle intégrée ; chantier et variantes à créer";3 longueurs / 4 états;J2-J3;P0;Réservation de passage et accès chantier;"Source Blender ; GLB ; textures ; collisions utiles ; points interaction ; variantes ; licence";"Échelle et pivots ; UV ; collision ; accès ; états ; coût mesuré dans scène étalon"
BLD-06;Bâtiments;Échelle;"Une échelle intégrée ; chantier et variantes à créer";2 hauteurs / 4 états;J3-J4;P1;Animation de montée et capacité du lien;"Source Blender ; GLB ; textures ; collisions utiles ; points interaction ; variantes ; licence";"Échelle et pivots ; UV ; collision ; accès ; états ; coût mesuré dans scène étalon"
BLD-07;Bâtiments;Étai;À créer;2 variantes / 4 états;J4;P1;Intégrité de passage fragile;"Source Blender ; GLB ; textures ; collisions utiles ; points interaction ; variantes ; licence";"Échelle et pivots ; UV ; collision ; accès ; états ; coût mesuré dans scène étalon"
BLD-08;Bâtiments;Collecteur eau;À créer;1 bâtiment / 4 états;J4;P1;Source active, débit et réservoir;"Source Blender ; GLB ; textures ; collisions utiles ; points interaction ; variantes ; licence";"Échelle et pivots ; UV ; collision ; accès ; états ; coût mesuré dans scène étalon"
BLD-09;Bâtiments;Infirmerie;À créer;1 bâtiment / 4 états;J4;P1;Lit, soins et animation de transport;"Source Blender ; GLB ; textures ; collisions utiles ; points interaction ; variantes ; licence";"Échelle et pivots ; UV ; collision ; accès ; états ; coût mesuré dans scène étalon"
BLD-10;Bâtiments;Poste de veille;À créer;1 bâtiment / 4 états;J5;P1;Champ de vision et observation;"Source Blender ; GLB ; textures ; collisions utiles ; points interaction ; variantes ; licence";"Échelle et pivots ; UV ; collision ; accès ; états ; coût mesuré dans scène étalon"
BLD-11;Bâtiments;Table préparation repas;À créer;1 bâtiment / 4 états;J4;P1;Recettes et représentation des stocks;"Source Blender ; GLB ; textures ; collisions utiles ; points interaction ; variantes ; licence";"Échelle et pivots ; UV ; collision ; accès ; états ; coût mesuré dans scène étalon"
BLD-12;Bâtiments;Bac de culture;À créer;1 bac / 3 croissances / dégâts;J6;P2;Eau, humidité, rendement;"Source Blender ; GLB ; textures ; collisions utiles ; points interaction ; variantes ; licence";"Échelle et pivots ; UV ; collision ; accès ; états ; coût mesuré dans scène étalon"
BLD-13;Bâtiments;Porte camouflée;À créer;2 variantes / ouverte-fermée;J5;P1;Navigation, odeur, visibilité;"Source Blender ; GLB ; textures ; collisions utiles ; points interaction ; variantes ; licence";"Échelle et pivots ; UV ; collision ; accès ; états ; coût mesuré dans scène étalon"
BLD-14;Bâtiments;Gouttière;À créer;3 segments + raccord;J5;P2;Volumes de fuite et écoulement;"Source Blender ; GLB ; textures ; collisions utiles ; points interaction ; variantes ; licence";"Échelle et pivots ; UV ; collision ; accès ; états ; coût mesuré dans scène étalon"
BLD-15;Bâtiments;Grand Refuge;À créer;1 ensemble / 4 états;J6;P1;Lits, 2 accès, victoire et évacuation;"Source Blender ; GLB ; textures ; collisions utiles ; points interaction ; variantes ; licence";"Échelle et pivots ; UV ; collision ; accès ; états ; coût mesuré dans scène étalon"
PRP-01;Objets;Nourriture et biscuit;Prototype à reprendre;3 tas + biscuit + charge;J3;P0;Quantité restante visible;"Source Blender ; GLB ; textures ; collisions utiles ; points interaction ; variantes ; licence";"Échelle et pivots ; UV ; collision ; accès ; états ; coût mesuré dans scène étalon"
PRP-02;Objets;Bois récoltable;Prototype à reprendre;3 tas + charge;J2;P0;Volume de stockage;"Source Blender ; GLB ; textures ; collisions utiles ; points interaction ; variantes ; licence";"Échelle et pivots ; UV ; collision ; accès ; états ; coût mesuré dans scène étalon"
PRP-03;Objets;Fibres récoltables;Prototype à reprendre;3 tas + charge;J2;P0;Volume de stockage;"Source Blender ; GLB ; textures ; collisions utiles ; points interaction ; variantes ; licence";"Échelle et pivots ; UV ; collision ; accès ; états ; coût mesuré dans scène étalon"
PRP-04;Objets;Eau et récipients;"Récipient et boisson intégrés ; variantes à compléter";3 niveaux + charge;J4;P1;Lisibilité de quantité et qualité;"Source Blender ; GLB ; textures ; collisions utiles ; points interaction ; variantes ; licence";"Échelle et pivots ; UV ; collision ; accès ; états ; coût mesuré dans scène étalon"
PRP-05;Objets;Métal récupéré;À créer;3 tas + charge;J4;P1;Agrafes, trombone, outils;"Source Blender ; GLB ; textures ; collisions utiles ; points interaction ; variantes ; licence";"Échelle et pivots ; UV ; collision ; accès ; états ; coût mesuré dans scène étalon"
PRP-06;Objets;Résine;À créer;2 tas + charge;J5;P2;Recette étanchéité;"Source Blender ; GLB ; textures ; collisions utiles ; points interaction ; variantes ; licence";"Échelle et pivots ; UV ; collision ; accès ; états ; coût mesuré dans scène étalon"
PRP-07;Objets;Soie récoltable;À créer;2 tas + charge;J5;P1;Différente des toiles fonctionnelles;"Source Blender ; GLB ; textures ; collisions utiles ; points interaction ; variantes ; licence";"Échelle et pivots ; UV ; collision ; accès ; états ; coût mesuré dans scène étalon"
PRP-08;Objets;Déchets et accessoires;Prototype à reprendre;12 objets, variantes usuelles;J3-J6;P1;Instanciation et composition;"Source Blender ; GLB ; textures ; collisions utiles ; points interaction ; variantes ; licence";"Échelle et pivots ; UV ; collision ; accès ; états ; coût mesuré dans scène étalon"
PRP-09;Objets;Outils et bandages;À créer;4 outils + 1 bandage;J4;P1;Attaches mains/dos et recette;"Source Blender ; GLB ; textures ; collisions utiles ; points interaction ; variantes ; licence";"Échelle et pivots ; UV ; collision ; accès ; états ; coût mesuré dans scène étalon"
PRP-10;Objets;Appâts;À créer;2 types / 3 états;J3-J5;P0;Attraction et consommation visibles;"Source Blender ; GLB ; textures ; collisions utiles ; points interaction ; variantes ; licence";"Échelle et pivots ; UV ; collision ; accès ; états ; coût mesuré dans scène étalon"
PRP-11;Objets;Charges portées;"Caisse générique intégrée ; catégories à compléter";8 catégories liées aux ressources;J2-J5;P0;Rig, emplacements et absence de clipping;"Source Blender ; GLB ; textures ; collisions utiles ; points interaction ; variantes ; licence";"Échelle et pivots ; UV ; collision ; accès ; états ; coût mesuré dans scène étalon"
PRP-12;Objets;Conteneurs;"Caisse de référence validée ; dépôts à créer";3 tailles / 3 niveaux;J3-J4;P1;Filtres de réserve et inventaire;"Source Blender ; GLB ; textures ; collisions utiles ; points interaction ; variantes ; licence";"Échelle et pivots ; UV ; collision ; accès ; états ; coût mesuré dans scène étalon"
PRP-13;Objets;Indices exploration;À créer;6 traces / variantes;J3-J5;P1;Odeurs figurées, griffures, fuites;"Source Blender ; GLB ; textures ; collisions utiles ; points interaction ; variantes ; licence";"Échelle et pivots ; UV ; collision ; accès ; états ; coût mesuré dans scène étalon"
VFX-01;Effets;Torche, flamme et braises;Portée lot 16 validée - catalogue partiel;1 ensemble / 3 intensités;J0-J3;P0;Source Blender, lumière et budget ombres;"Scène Godot ; shader ; textures éventuelles ; paramètres ; profil réduit";"Caméra normale, rotation et gros plan ; pas de scintillement ; effet stoppé aux obstacles"
VFX-02;Effets;Lumière entre planches;Prototype à affiner;3 profils distincts;J0-J3;P0;Profondeur, rotation, réglage réduit;"Scène Godot ; shader ; textures éventuelles ; paramètres ; profil réduit";"Caméra normale, rotation et gros plan ; pas de scintillement ; effet stoppé aux obstacles"
VFX-03;Effets;Poussière en suspension;Prototype à affiner;2 densités + 1 variante chantier;J0-J3;P0;Lisibilité sans effet de neige;"Scène Godot ; shader ; textures éventuelles ; paramètres ; profil réduit";"Caméra normale, rotation et gros plan ; pas de scintillement ; effet stoppé aux obstacles"
VFX-04;Effets;Toiles;Prototype décoratif à étendre;2 décoratives + 1 active déchirable;J0-J5;P1;"Fil fonctionnel signalé ; aucune représentation alternative selon DEC-09";"Scène Godot ; shader ; textures éventuelles ; paramètres ; profil réduit";"Caméra normale, rotation et gros plan ; pas de scintillement ; effet stoppé aux obstacles"
VFX-05;Effets;Fuite et eau;À créer;Filet, impact, sol humide;J4-J5;P1;Volume dangereux synchronisé;"Scène Godot ; shader ; textures éventuelles ; paramètres ; profil réduit";"Caméra normale, rotation et gros plan ; pas de scintillement ; effet stoppé aux obstacles"
VFX-06;Effets;Passage humain;Prototype partiel;Ombre, secousse, aspiration;J5;P1;Réglage accessibilité et signaux;"Scène Godot ; shader ; textures éventuelles ; paramètres ; profil réduit";"Caméra normale, rotation et gros plan ; pas de scintillement ; effet stoppé aux obstacles"
VFX-07;Effets;Travaux;À créer;3 petits effets;J2-J3;P1;Animation et production de bruit;"Scène Godot ; shader ; textures éventuelles ; paramètres ; profil réduit";"Caméra normale, rotation et gros plan ; pas de scintillement ; effet stoppé aux obstacles"
VFX-08;Effets;Humidité locale;"Cible retenue ; à créer";1 effet léger;J6;P2;Budget transparent et visibilité;"Scène Godot ; shader ; textures éventuelles ; paramètres ; profil réduit";"Caméra normale, rotation et gros plan ; pas de scintillement ; effet stoppé aux obstacles"
UI-01;Interface;Barre et pictogrammes;"Atelier miniature intégré ; nouvelles commandes à compléter";12-16 pictogrammes;J1-J4;P0;Échelles UI et texte de remplacement;"Sources vectorielles ; exports ; scène UI ; états ; textes et infobulles";"1280x800 et 1920x1080 ; UI agrandie ; contraste ; clavier ; aucune commande perdue"
UI-02;Interface;Portraits et états;"Jauges individuelles intégrées ; portraits et autres états à créer";6 portraits + 10 états;J4;P1;Identité et besoins sans couleur seule;"Sources vectorielles ; exports ; scène UI ; états ; textes et infobulles";"1280x800 et 1920x1080 ; UI agrandie ; contraste ; clavier ; aucune commande perdue"
UI-03;Interface;Carte et niveaux;À créer;1 vue + 8 symboles;J3-J6;P0;Inconnu, mémorisé, observé;"Sources vectorielles ; exports ; scène UI ; états ; textes et infobulles";"1280x800 et 1920x1080 ; UI agrandie ; contraste ; clavier ; aucune commande perdue"
UI-04;Interface;Panneaux gestion;Prototype partiel;8 vues;J1-J6;P0;Stocks, métiers, chantiers, réglages;"Sources vectorielles ; exports ; scène UI ; états ; textes et infobulles";"1280x800 et 1920x1080 ; UI agrandie ; contraste ; clavier ; aucune commande perdue"
UI-05;Interface;Alertes et journal;Prototype à reprendre;3 sévérités + historique;J2-J5;P0;Cause, action et centrage;"Sources vectorielles ; exports ; scène UI ; états ; textes et infobulles";"1280x800 et 1920x1080 ; UI agrandie ; contraste ; clavier ; aucune commande perdue"
UI-06;Interface;Tutoriel et fin;Prototype à reprendre;6 étapes + bilan final;J3-J6;P1;Pas de guidage oral requis;"Sources vectorielles ; exports ; scène UI ; états ; textes et infobulles";"1280x800 et 1920x1080 ; UI agrandie ; contraste ; clavier ; aucune commande perdue"
AUD-01;Audio;Ambiances de secteur;À créer;4 boucles;J3-J6;P1;Licence et transitions;"Sources autorisées ; WAV de travail ; OGG export ; licence ; volumes et variations";"Pas de raccord ni saturation ; variantes ; volume séparé ; signal équivalent sans son"
AUD-02;Audio;Humains;À créer;6 prises de pas + 3 événements;J3-J5;P0;Correspondance calendrier et sous-titres;"Sources autorisées ; WAV de travail ; OGG export ; licence ; volumes et variations";"Pas de raccord ni saturation ; variantes ; volume séparé ; signal équivalent sans son"
AUD-03;Audio;Travaux et portage;À créer;8 familles x 3 variantes;J2-J4;P1;Limite de voix simultanées;"Sources autorisées ; WAV de travail ; OGG export ; licence ; volumes et variations";"Pas de raccord ni saturation ; variantes ; volume séparé ; signal équivalent sans son"
AUD-04;Audio;Faune;À créer;4 familles;J3-J6;P1;Perception et discrétion;"Sources autorisées ; WAV de travail ; OGG export ; licence ; volumes et variations";"Pas de raccord ni saturation ; variantes ; volume séparé ; signal équivalent sans son"
AUD-05;Audio;Interface;À créer;8 sons courts;J3;P1;Volume séparé et priorité;"Sources autorisées ; WAV de travail ; OGG export ; licence ; volumes et variations";"Pas de raccord ni saturation ; variantes ; volume séparé ; signal équivalent sans son"
AUD-06;Audio;Musique;À créer;2 thèmes/textures;J6-J7;P2;Pas de révélation involontaire du danger;"Sources autorisées ; WAV de travail ; OGG export ; licence ; volumes et variations";"Pas de raccord ni saturation ; variantes ; volume séparé ; signal équivalent sans son"
BLD-16;Bâtiments;Lits et alcôves;"Lits validés lots 12–13 ; approvisionnement lot 14 validé";Lit + alcôve;J2-J4;P0;Sommeil et propriété;"Sources Blender ; GLB ; textures ; animations";"Appuis, accès, transport physique et sauvegarde ; lot 14 validé"
PRP-14;Objets;Torche individuelle;Lot 16 validé;Rangée, équipée, allumée, épuisée;Étape 4 / J3;P0;Combustible, attaches et mains occupées;"Source Blender ; GLB ; textures ; attaches";"Lecture à distance ; pas de clipping ; états persistants"
CHR-07;Personnages;Port de torche;Lot 16 validé;Repos, marche et observation;Étape 4 / J3;P0;Rig CHR-01 et PRP-14;"Source Blender ; animations ; transitions";"Pas de glissement ; mains libres vérifiées"
ENV-08;Environnement;Fissure et seuils reliés;À créer;"Deux extrémités ; fermé, chantier, ouvert";Étape 5 / J3;P0;Graphe des passages et files;"Sources Blender ; GLB ; collisions ; points de passage";"Continuité spatiale ; rappel ; traversée sans duplication"
ENV-09;Environnement;Premier secteur sombre;À créer;Une petite zone artisanale;Étape 6 / J3;P0;Passage, ressource utile et persistance;"Kit Blender ; scène Godot ; éclairage";"Aller-retour chargé ; sauvegarde ; revisite"
BLD-17;Bâtiments;Éclairage fixe construit;"Décor existant ; version fabricable à créer";Support et combustible visible;Étape 7 / J3;P0;Stocks locaux et entretien;"Source Blender ; GLB ; scène de lumière";"Route lisible ; panne et ravitaillement"
UI-07;Interface;Exploration et équipement;Partiel lot 16 - secteurs à venir;Autonomie, destination, accès et blocages;Étapes 4–7 / J3;P0;Torches et secteurs persistants;"Icônes ; panneaux ; infobulles";"Cause du refus visible ; rappel intersectoriel"
FAU-06;Faune;Insecte utile domestiqué;"Direction retenue ; espèce à choisir";Une espèce de transport ou production pour premier essai;Après première aventure;P1;Besoins, tâches et domestication;"Source Blender ; GLB ; rig ; accessoires";"Utilité distincte ; entretien ; persistance"
ENV-10;Environnement;Ville souterraine indépendante;"Direction retenue ; à créer";Kit et lieux d’échanges à dimensionner;J6;P1;Campagne, échanges, recrutement et missions;"Sources Blender ; scènes ; interfaces associées";"Accès persistant ; refuge du joueur conservé"
ENV-11;Environnement;Extérieur et avant-postes;"Extension retenue ; à concevoir";Kit procédural à dimensionner;Après campagne;P2;Zones persistantes et ravitaillement;"Sources Blender ; règles de génération ; scènes";Revisite conserve stocks et constructions
PRP-15;Objets;Lanterne de ceinture;Lot 17 validé;Rangée, équipée, allumée, épuisée;Étape 4 bis / J3;P0;Atelier, combustible et attache bassin;"Source Blender ; GLB ; textures ; flamme et lumière";"Échelle et caisse ; autonomie ; persistance"
